                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.61743,                 1.8915,                0.97759,                0.93203,                0.85916,                 0.9537,                0.86702,                0.42165,                 0.6424,                0.80995,               0.070165,               0.003315,               0.003315
                      1,                0.58915,                0.81932,                0.93345,                0.93844,                0.92995,                 0.9849,                0.87241,                0.52059,                0.49647,                0.82301,               0.040099,              0.0065825,              0.0065825
                      2,                0.64669,                0.82976,                0.94749,                0.65362,                0.77057,                0.79522,                0.68407,                0.61448,                 2.1741,                0.88176,              0.0099672,               0.009784,               0.009784
                      3,                 0.7034,                0.86627,                0.97743,                0.88773,                0.90447,                0.97356,                0.85529,                0.54394,                0.67571,                0.85666,               0.009703,               0.009703,               0.009703
                      4,                0.69383,                0.83434,                0.97232,                0.93098,                0.95371,                0.98783,                0.86052,                0.55262,                0.54037,                0.86672,               0.009703,               0.009703,               0.009703
                      5,                0.68944,                0.77399,                0.98111,                0.94976,                0.97222,                0.98875,                0.86885,                0.53876,                0.46289,                0.86966,               0.009604,               0.009604,               0.009604
                      6,                0.68398,                 0.7357,                0.98306,                0.94824,                0.94963,                0.98669,                0.88436,                0.51907,                0.48638,                0.84976,               0.009505,               0.009505,               0.009505
                      7,                0.64972,                0.69296,                0.95919,                0.95868,                0.98159,                0.99109,                0.87592,                0.49988,                0.42859,                0.83772,               0.009406,               0.009406,               0.009406
                      8,                0.64447,                0.68305,                 0.9529,                0.92245,                0.95452,                0.96633,                0.86839,                 0.4964,                0.52476,                0.82285,               0.009307,               0.009307,               0.009307
                      9,                0.62891,                0.65692,                0.94327,                0.98701,                0.98325,                0.99382,                0.90084,                0.50149,                 0.3747,                 0.8234,               0.009208,               0.009208,               0.009208
                     10,                0.62183,                0.61901,                0.94062,                0.91263,                0.91867,                0.97633,                0.88079,                0.48176,                0.51274,                0.83266,               0.009109,               0.009109,               0.009109
                     11,                0.62405,                0.61346,                0.94672,                0.95863,                0.97892,                0.99012,                0.89778,                0.46848,                0.38294,                0.81274,                0.00901,                0.00901,                0.00901
                     12,                0.60351,                0.58618,                0.93742,                0.96885,                 0.9618,                0.98237,                 0.8889,                0.46828,                0.40484,                0.81648,               0.008911,               0.008911,               0.008911
                     13,                0.60183,                0.56884,                0.93847,                 0.9803,                0.97236,                0.99351,                0.90459,                0.46643,                0.34661,                 0.8303,               0.008812,               0.008812,               0.008812
                     14,                0.60058,                0.59512,                0.93551,                0.98442,                0.99283,                  0.995,                0.90773,                0.46596,                0.32657,                0.81804,               0.008713,               0.008713,               0.008713
                     15,                0.58427,                0.55233,                0.92981,                0.97341,                0.95764,                0.99251,                0.90434,                0.44949,                0.34367,                 0.8092,               0.008614,               0.008614,               0.008614
                     16,                0.57235,                0.54416,                0.92104,                 0.9794,                 0.9784,                0.99362,                0.90862,                 0.4528,                0.32731,                0.80879,               0.008515,               0.008515,               0.008515
                     17,                0.56872,                0.52797,                 0.9188,                0.98304,                 0.9889,                0.99368,                0.90447,                0.46038,                0.33585,                0.80713,               0.008416,               0.008416,               0.008416
                     18,                0.57379,                0.53385,                0.92228,                0.98234,                0.98546,                0.99121,                0.89724,                0.45366,                0.32947,                0.81039,               0.008317,               0.008317,               0.008317
                     19,                0.56534,                0.51533,                0.92332,                0.97951,                0.99115,                0.99384,                 0.9151,                0.45422,                0.32305,                0.80936,               0.008218,               0.008218,               0.008218
                     20,                0.55808,                0.52152,                0.92123,                0.94116,                0.95809,                0.98636,                 0.8996,                0.44115,                0.37002,                0.80499,               0.008119,               0.008119,               0.008119
                     21,                0.57579,                0.51286,                0.92449,                 0.9799,                0.99939,                0.99488,                0.91247,                0.42849,                0.27978,                0.80128,                0.00802,                0.00802,                0.00802
                     22,                0.54996,                0.47316,                 0.9139,                0.96091,                0.95799,                0.99203,                0.91205,                0.43099,                0.32559,                0.79735,               0.007921,               0.007921,               0.007921
                     23,                0.55703,                0.49874,                0.91925,                0.97394,                0.99314,                  0.995,                 0.9074,                0.45967,                0.31711,                0.80236,               0.007822,               0.007822,               0.007822
                     24,                0.55322,                0.50285,                0.91951,                0.98596,                0.98328,                0.99482,                0.91241,                0.43464,                0.28708,                0.80241,               0.007723,               0.007723,               0.007723
                     25,                0.53932,                0.49583,                0.91558,                 0.9673,                0.96197,                0.99167,                0.90689,                0.44005,                0.31884,                0.79698,               0.007624,               0.007624,               0.007624
                     26,                0.53381,                0.47503,                0.91039,                0.98929,                0.99639,                  0.995,                0.91041,                0.43451,                0.27761,                0.80089,               0.007525,               0.007525,               0.007525
                     27,                0.53375,                0.45994,                 0.9135,                0.95537,                0.96222,                0.99109,                0.91208,                0.43068,                0.32593,                0.79653,               0.007426,               0.007426,               0.007426
                     28,                0.52846,                0.46718,                0.90721,                 0.9862,                 0.9908,                  0.995,                0.91639,                0.42976,                0.28181,                0.79767,               0.007327,               0.007327,               0.007327
                     29,                0.52816,                0.46394,                0.90724,                0.98255,                0.98971,                0.99413,                0.91256,                0.43555,                0.29145,                0.79166,               0.007228,               0.007228,               0.007228
                     30,                0.52687,                0.44875,                0.90428,                0.97482,                0.97738,                  0.995,                0.90875,                0.42606,                0.29284,                0.79965,               0.007129,               0.007129,               0.007129
                     31,                0.52971,                0.45377,                0.90692,                0.98345,                0.97817,                0.99457,                0.91434,                0.42622,                0.28077,                 0.7992,                0.00703,                0.00703,                0.00703
                     32,                0.50985,                0.44255,                0.90113,                0.98591,                0.99692,                0.99464,                0.91311,                0.41817,                0.25751,                0.79255,               0.006931,               0.006931,               0.006931
                     33,                0.51605,                 0.4316,                0.90243,                0.98885,                0.98554,                0.99463,                0.92136,                 0.4225,                0.26335,                0.79218,               0.006832,               0.006832,               0.006832
                     34,                0.50336,                0.42102,                 0.8991,                0.97614,                0.98027,                0.99373,                0.91008,                0.41675,                0.28346,                0.79045,               0.006733,               0.006733,               0.006733
                     35,                0.49461,                0.42194,                0.89633,                0.96269,                0.96464,                0.99379,                0.92267,                0.40251,                 0.2995,                 0.7893,               0.006634,               0.006634,               0.006634
